Adjektiv;Umlaut Standard;Stammvokal Standard;Silbenzahl Standard;Auslaut Standard;Auslaut Standard vereinfacht;Kommentar Auslaut Standard;Frequenz;Klasse;Quelle;Typ;Adjektiv VA;Silbenzahl VA;Stammvokal VA;Auslaut VA;Auslaut VA vereinfacht;Umlaut VA;Umlaut Jutz;Zitation Jutz;Kommentar Jutz
gut;nein;u;1;C;C;;1052;5;Ruoff;;guat;1;ua;C;C;ja;ja ;Jutz 1, 1269 ;auch nicht-suppletiver Komparativ mit UL belegt
alt;ja;a;1;SC;CC;;681;6;Ruoff;;alt;1;a;SC;CC;ja;ja;Jutz 1, 69;
groß;ja;o;1;C;C;;615;6;Ruoff;;groß;1;o;C;C;ja;ja ;Jutz 1, 1244;
lang;ja;a;1;S;C;;483;6;Ruoff;;lang;1;a;S;C;ja;ja ;Jutz 2, 219 ;
ganz;nein;a;1;SC;CC;;411;7;Ruoff;;ganz;1;a;SC;CC;;;Jutz 1, 1059–1060;keine Angabe zum UL
jung;ja;u;1;S;C;;224;7;Ruoff;;jung;1;u;S;C;ja;ja ;Jutz 1, 1506–1507;
arg;ja;a;1;SC;CC;;202;8;Ruoff;;arg;1;a;SC;CC;ja;ja ;Jutz 1, 128 ;
ander;nein;a;2;R;R;;138;8;Ruoff;;ander;2;a;R;R;;;Jutz 1, 80 ;keine Angabe zum UL
genau;nein;au;2;kAL;kAL;Pseudopräfix (ge-);132;8;Ruoff;;gnau;1;au;kAL;kAL;ja;ja ;Jutz 1, 1121 ;
hoch;ja;o;1;C;C;;120;8;Ruoff;;hoch;1;o;C;C;ja;ja;Jutz 1, 1415–1416;
stark;ja;a;1;SC;CC;;96;9;Ruoff;;stark;1;a;SC;CC;ja;ja ;Jutz 2, 1264 ;
voll;nein;o;1;S;C;;92;9;Ruoff;;voll;1;o;S;C;ja;ja;Jutz 1, 964;
krank;nein;a;1;SC;CC;;80;9;Ruoff;;krank;1;a;SC;CC;ja;;Jutz 2, 139–140;keine Angabe zum UL
spät;nein;ä;1;C;C;;77;9;Ruoff;;spööt;1;o;C;C;ja;;;
wahr;nein;a;1;R;R;;72;9;Ruoff;;wohr;1;o;S;C;nein;;Jutz 2, 1512 ;kein Angabe zum UL
froh;nein;o;1;kAL;kAL;;65;9;Ruoff;;froh;1;o;kAL;kAL;ja;ja ;Jutz 1, 1004;
gesund;ja;u;2;SC;CC;;61;9;Ruoff;;gsund;1;u;SC;CC;ja;ja ;Jutz 1, 1169 ;
ruhig;nein;u;2;M;M;Derivation (-ig);61;9;Ruoff;;ruhig;2;üe;M;M;nein;;Jutz 2, 782–783;autochthon nur als rüebig (nicht UL-fähig)
langsam;nein;a;2;M;M;Derivation (-sam);58;9;Ruoff;;langsam;2;a;M;M;ja;;Jutz 2, 221;keine Angabe zum UL
kaputt;nein;u;2;C;C;;57;9;Ruoff;;kaputt;2;u;C;C;nein;;Jutz 2, 22–23;keine Angabe zum UL
kurz;ja;u;1;SC;CC;;54;9;Ruoff;;kurz;1;u;SC;CC;ja;ja;Jutz 2, 194–195;
klar;variabel;a;1;R;R;;51;10;Ruoff;;klar;1;a;S;C;nein;;Jutz 2, 81 ;keine Angabe zum UL
naß;variabel;a;1;C;C;;50;10;Ruoff;;nass;1;a;C;C;ja;ja;Jutz 2, 523;
sauber;nein;au;2;R;R;Pseudosuffix (-er);50;10;Ruoff;;suuber;2;u;R;R;ja;ja;Jutz 2, 832 ;
eigen;nein;ei;2;S;C;Pseudosuffix (-en);49;10;Ruoff;;aaga;2;a;kAL;kAL;;;Jutz 1, 677 ;keine Angabe zum UL
furchtbar;nein;u;2;M;M;Derivation (-bar);49;10;Ruoff;;furchtbar;2;ü;M;M;nein;;Jutz 1, 1028 ;dialektal: fürchtig (nicht-umlautfähig)
dumm;ja;u;1;S;C;;46;10;Ruoff;;dumm;1;u;S;C;ja;ja;Jutz 1, 641;
kalt;ja;a;1;SC;CC;;41;10;Ruoff;;kalt;1;a;SC;CC;ja;ja ;Jutz 2, 9 ;
aktiv;nein;i;2;C;C;;40;10;Ruoff;;;;;;;;;;nicht belegt
trocken;nein;o;2;S;C;Pseudosuffix (-en);40;10;Ruoff;;trocka;2;a;kAL;kAL;nein;;Jutz 1, 620 ;keine Angabe zum UL
breit;nein;ei;1;C;C;;39;10;Ruoff;;breit;1;ei;C;C;teilweise;teilweise ;Jutz 1, 442;sprachlandschaftlich gebunden (ei > oa usw.)
interessant;nein;a;4;SC;CC;;39;10;Ruoff;;intressant;3;a;SC;CC;nein;nein ;Jutz 1, 1495–1496;
rot;variabel;o;1;C;C;;38;10;Ruoff;;rot;1;o;C;C;ja;ja;Jutz 2, 765–766;
arm;ja;a;1;SS;CC;;36;10;Ruoff;;arm;1;a;SS;CC;ja;ja;Jutz 1, 129  ;
warm;ja;a;1;SS;CC;;36;10;Ruoff;;warm;1;a;SS;CC;ja;ja ;Jutz 2, 1529 ;
heiß;nein;ei;1;C;C;;35;10;Ruoff;;heiß;1;ei;C;C;teilweise;teilweise ;Jutz 1, 1366–1367;„im Kompar. und Superl. teilw. Uml.“ (Sp. 1366)
lustig;nein;u;2;M;M;Derivation (-ig);35;10;Ruoff;;luschtig;2;u;M;M;nein;;Jutz 2, 317;keine Angabe zum UL
schwarz;ja;a;1;SC;CC;;26;10;Ruoff;;schwarz;1;a;SC;CC;ja;ja ;Jutz 2, 1088–1089;
hart;ja;a;1;SC;CC;;24;11;Ruoff;;hart;1;a;SC;CC;ja;;Jutz 1, 1323 ;keine Angabe zum UL
nahe;ja;a;2;R;R;;24;11;Ruoff;;nooh;1;o;kAL;kAL;ja;ja;Jutz 2, 489;
tot;nein;o;1;C;C;;24;11;Ruoff;;tot;1;o;C;C;ja;;Jutz 1, 587–588;keine Angabe zum UL
heilig;nein;ei;2;M;M;Derivation (-ig);22;11;Ruoff;;heilig;2;ei;M;M;nein;;Jutz 1, 1356–1357;keine Angabe zum UL
rund;nein;u;1;SC;CC;;19;11;Ruoff;;rund;1;u;SC;CC;ja;;Jutz 2, 789;keine Angabe zum UL
faul;nein;au;1;S;C;;18;11;Ruoff;;fuul;1;u;S;C;ja;ja;Jutz 1, 779 ;
normal;nein;a;2;S;C;;17;11;Ruoff;;normal;2;a;S;C;nein;;;nicht belegt
