Ort::REDE_GIDs;Ort::Longitude;Ort::Latitude;Ort::Erhebung;Ort::Sprache;Bogennummer;Ort::Name;WS16: Adjektivform Positiv;WS16: Stammvokal Positiv;WS16: Adjektivform Komparativ;WS16: Stammvokal Komparativ;Transliteration WS16
98188;8,59958;50,66884;1;1;28278;KRUMBACH;gruß;u;grüßer;ü;Du seist noch neat gruß genunk, üm a Flasch Weih aus se träanke, De moißt noach a Enn woahse ean grüßer wärn.
372827;14,44888;53,92636;1;1;50844;MIEDZYZDROJE;grot;o;gröter;ö;Du büss nonich grot genauch um ein Flasch Wien uttudrink’n, du mußt nnoch ne In wassen u gröter warn.
94965;6,34277;50,06311;2;1;10029;RINGHUSCHEID;grugs;u;grießer;ie;Du boas noa net grugs je genuh, firen Fläsch Weng auszudroanken, du mus discht noah ehn Änn waßen oahn grußer jäe.
95722;6,58295;50,04663;2;1;10044;MALBERG;gruß;u;grießer;ie;Dau baß noch net gruß geno(o)g, um en Flasch Wein auszudränken, dau mooß escht noch en Enn woaßen en grießer geen.
150069;15,49524;53,11481;2;1;1009;NOWY KLUKOM;grot;o;grötte;ö;Du bist no ne grot (:o kurz) noch, üm’n Flasch Wi|an utthotrinka, du mußt  e|esta no e|a Inn wassa o grötte waara.
531796;15,78185;53,08719;1;1;1018;LASKO K CHOSZCZNA;grot;o;gröte ;ö;Du bist no ni grot noach, üm an Flasch Win uttudrinke, Du must esta no a In wassa un gröte ware.
99147;6,84042;50,09033;2;1;10215;PANTENBURG;gruß ;u;grußer;u;Dou baß noch nöt gruß genug, für en Flasch Wen aus se trönken, dou moß noch ä wenig grußer jen.
159464;16,08349;53,12516;1;1;1023;GOLIN;grot;o;grötte;ö;Du bist no nie grot nōch, üm en Flasch Wièh ut to drinken, Du mußd eeste no e Inn wasse u grötte wāde.
97954;7,07928;50,09451;1;1;10230;BEUREN;gruß;u;grußer;u;Dau bos nach net gruß genog, fer en Flasch Weun aus’se trinke, dau mos nach woaßen un grußer wäre.
98462;7,34404;50,10303;1;1;10259;MÖRSDORF;gruß;u;griesa ;ie;Dau bes noch net gruß genog, füa Bodell Weun aus sä trinke, dau moß noch eh besche wose und griesa wärre.
94920;7,633;50,12291;1;1;10275;BADENHARD;groß;o;größer;ö;De bist noch net groß genug, em=en Flasch Weïn auszetrenke, de muß erst noch en En wase un größer were.
531178;16,39581;53,11234;1;1;1029;NIEKURSKO;grot;o;gröte;ö;Du bëst noch n'ni grot nuch, üm an Flasch Wio ut drinkjun, du must no a' Iun wasso ou gröte waro
95227;7,88739;50,1322;1;1;10300;WELTEROD;krus;u;greßer;e;Du bischt noch nett krus kenunk, em e Flasch Wei auszetrenke, du muscht ehrscht noch e Enn wakse en greßer werre.
96664;8,14118;50,13996;2;1;10315;BLEIDENSTADT;gruß;u;grüßer;ü;Du bist noch nitt gruß genunk, um e Flasch Wei(n) aus ze trinke, du mußt erscht noch e Stickelchewachse, unn grüßer warn.
11144;6,05347;50,20267;3;1;10335;ESPELER;gruss;u;grußer;u;Du bes no nitt gruss genuch, fürr eing' Fläsch Weng auszudronken, du muß no en End waßen, um grußer zu jenen.
376330;16,63215;53,09276;1;1;1035;STOBNO;grot;o;gröte;ö;Du büst no nee grot nug üm an Flasch Wio utto drinkon du must esto no an En wasso u gröte wahra.
