Bogennummer;REDE_Namen;Longitude;Latitude;REDE_GIDs;Sprache;Herkunft;WS22::Transliteration WS22;WS22: Adjektivform;WS22: Stammvokal;WS31::Transliteration WS31;WS31: Adjektivform;WS31: Stammvokal
10029;Ringhuscheid;6,34277;50,06311;94965;1;Marburg;Mär mus hart je=izen, sos versteht hän us net.;hart;a;Ech verstinn ech net, dör mußt eh böschen harter schwätzen.;harter;a
10044;Malberg;6,58295;50,04663;95722;1;Marburg;Ma mooß hoët jauzen, soß besteht ä ooß nett.;hoët;oë;Eich bestiehe eich nett, dir mohd ewinnig hohder schwähzen.;hohder;oh
1009;Nowy Klukom;15,49524;53,11481;150069;1;Marburg;Ma mutt se|eh schriega, süsta västeht he os ne.;se|eh;e|e;"Ick västau juh ne, jih möta a bitzka luhge (schon etwas veraltet, dafür ""senne"" von sehr) spreika. ";luhge;uh
1018;Lasko K Choszczna;15,78185;53,08719;531796;1;Marburg;Ma mut lut schrigga, süsta vesteht ha os ni.;lut;u;Ich vestau ju ni, jü möta a betka lude spreke.;lude;u
10215;Pantenburg;6,84042;50,09033;99147;1;Marburg;Ma mouß hort schreien, soß verstäht man nöt.;hort;o;Ech verstühn ech nöt, dou mouß a winig horder schwätzen.;horder;o
1023;Golin;16,08349;53,12516;159464;1;Marburg;Ma mut lut schrigge, sünste vosteht he uss nist.;lut;u;Jk vostah ju ni, ji möthe en bitzken lude spräke.;lude;u
10230;Beuren;7,07928;50,09451;97954;1;Marburg;Mer moß hart kräschen, soß verstät e änn net.;hart;a;Euch verstiehe ech net, dir most härter schwätze.;lude;u
10259;Mörsdorf;7,34404;50,10303;98462;1;Marburg;Ma mos hart schreie, sos verstehrerts net.;hart;a;Ech verstie uch net, dia meßt ebbes härta schwätze.;härta;ä
10275;Badenhard;7,633;50,12291;94920;1;Marburg;Mer muß laut schraïe, sußt verstere uß net.;laut;au;Ich verstehn auch net, dihr mußt=e bische lauter spreche (schwetze).;lauter;au
1029;Niekursko;16,39581;53,11234;531178;1;Marburg;Ma mut sehe schriggo, sästo vestete os n ni.;sehe;eh;Ik vestau ju nei, ji möto a bisko sööne reido.;sööne;öö
10300;Welterod;7,88739;50,1322;95227;1;Marburg;M'r muß laud (hord) schreie (schwetze) soschd v'rschtehd er uns nett.;laud;au;Jch verscheh'n äjch nett ehr mußt e bische lauder schpreche/schwetze.;lauder;au
10315;Bleidenstadt;8,14118;50,13996;96664;1;Marburg;Merr muß hart greische, sunst verstiere uns nitt.;hart;a;Ich verstihe eich nitt, ihr mißt e bische laurer schwetze.;laurer;au
10335;Espeler;6,05347;50,20267;11144;1;Marburg;Mer muß hart geezen, soß versteht hen us nitt.;hart;a;Ech verstoh öch nitt, d'irr mott e besche mi hart schwätze.;harter;a
1035;Stobno;16,63215;53,09276;376330;1;Marburg;Ma mut sehe lut schriko süsto vestete os ne.;lut;u;Ick vestau ju nie, ji möto a beit siane reido.;siano;ia
10351;Brandscheid;6,31001;50,22124;95212;1;Marburg;Mer muß hart jezen, söß versteet hen ous nett.;hart;a;Ech verstinn ech net, dir mist en beschen harter schwäzen.;harter;a
10368;Büdesheim;6,55753;50,21722;97121;1;Marburg;M'rr mous lout jauzen, soß versteed hǟn ous nädd.;lout;ou;Ech verstin ech nätt, d'r maot en Bäßchen louter sprägen?;louter;ou
10381;Waldkönigen;6,7955;50,23069;97404;1;Marburg;Mr mohß hôrt krehsch dohn, sos versteet en os net.;hôrt;ô;Ech verstiehn öch net, dr mohßt jät hôrter schwäätzen.;hôrter;ô
1050;Krostkowo;17,19502;53,11046;370259;1;Marburg;Ma mict sehe schrige, süste vesteht hei us ni;sehe;eh;Ik ensta ju ni, ji meute a bitzge laude räde;lauder;au
10584;Kalenborn;7,0778;50,26048;95268;1;Marburg;M'r mos loaut schreuen, sos verstaid m'r en net.;loaut;oau;Ech verstü ech net, dir mest en beschen dichder schbrärchen.;dichder;i 
10601;Gappenach;7,34445;50,2728;96687;1;Marburg;Me moß hort schraje, soß verstaht er us net.;hort;o;Ech verstin uch net, dir mußt e beßge harter schwätzen.;harter;a
10621;Rhens;7,61816;50,28044;101126;1;Marburg;Mer moß laut schraie, sonst verstieht e ons net.;laut;au;Ech verstien euch net, ihr mößt e besche lauter spreche.;lauter;au
10649;Attenhausen;7,87712;50,29247;96321;1;Marburg;Ma muß hort kräische, sost vestiht e us net.;hort;o;Äich västehe ouch net, är mußt e bische härta schwetze.;härta;ä
10663;Heringen;8,10998;50,31601;94966;1;Marburg;Mer muß hoart kreische, sonst verschdire uns not.;hoart;oa ;Ich verstihn och net, er mußt e bische herter schwätze.;herter;e
10690;Honsfeld;6,28038;50,38149;11763;1;Marburg;Mer muß hart schreien, seß versteht hen us net.;hart;a;Ich verstonn üch net, derr moßt jet harder kallen.;harder;a
10697;Dahlem;6,54324;50,3815;135306;1;Marburg;Mer mooß hart schreen, sons verstet e ons net.;hart;a;Ech verston öch net got, dir mot get harder kalle.;harder;a
10709;Aremberg;6,80584;50,41498;95727;1;Marburg;Mer moß laut schreien, ä sons versteit er ons net.;laut;au;Ech verstohn öch net, ehr mößt jet louter schwätzen.;louter;ou
10736;Hohenleimbach;7,05945;50,41231;96260;1;Marburg;Mr moß hart schreie, soß versteht äh oß net.;hart;a;Ech verstohe öch net, dir moßt jet harter schwätze.;harter;a
10857;Hatzfeld (Eder);8,54797;50,9931;100720;1;Marburg;Mer muß laut graische, sost verstet hä ins nit.;laut;au;Ich versteh och net, ehr mußt eh bische laurer spreche.;laurer;au
10974;Haindorf;10,4237421;50,7188194;542256;1;Marburg;Mö moß sehr (=laut) schräi, süst verstätt ä ons net.;sehr;eh;Jch verstehn üch net, ö mot e Beßle särner schwatz.;särner;ä
110;Rozpedziny;18,9051;53,70548;373879;1;Marburg;Man mut lut schrige, sonst versteiht he uns nich.;lut;u;Jck verstoh ju nich, ji mutte bet luter sprecke.;luter;u
11132;Schwarzwald;10,72904373;50,77061604;542173;1;Marburg;Ma moß luth schrei, sost verstiât a uns nech.;luth;u;Ech verstiâ uch nech, ihr (diâ) müst â bischen luther sprech.;luther;u
11149;Wipfra;10,96938;50,75547;139789;1;Marburg;Me moß lud schreie sost verstitte onns nech.;lud;u;Ech verstie eich nech dähe mott ä Beschen luder schwatze.;luder;u
11180;Remda;11,22809;50,76235;136781;1;Marburg;Me' muß laut schreie, sost v'rschtiht'r uns nech.;laut;au;Ech verstih eich nech, ihr mußt ä bieschen lauter sprâche.;lauter;au
11197;Zeutsch;11,50488;50,7536;141792;1;Marburg;Mer muß laut schreie, sunst verschtiehter uns nich.;laut;au;Ich verschtieh eich nich, ihr mußt e bischen lauter schprache.;lauter;au
11212;Breitenhain;11,73363;50,77235;142209;1;Marburg;Mār muß laut schreie, sist verstieht ār uns nech.;laut;au;Ech verstieh euch nech, ihr müß ā bössel lauter sprāche.;lauter;au
11230;Burkersdorf;12,01318;50,78588;139629;1;Marburg;Mr muß laut schreie, sunst verschtieht er uns nich.;laut;au;Ich verschtiehe äch nich, ihr mußt ä Bissel lauter schpraeche.;lauter;au
11252;Seelingstädt;12,24437;50,77289;139540;1;Marburg;Man muß laut schreie, sunst verstieht ar uns net.;laut;au;Ich verstieh eüch nicht, ihr müßt ä bissel lauter sprachen.;lauter;au 
11262;Seebach;10,42573;50,91165;142683;1;Marburg;M. muß sihr schrehi sost verschtiht er uns nich.;sihr;i;Ich verstihe uch nich ehi mut an bischen sehrer spräch.;sehrer;eh
1133;Debenke;17,45996751;53,22049833;534921;1;Marburg;Ma mut sähä schriga, süß vesteht hei us ne.;sähä;ä;Iksch vestah ji jo ne, ji meute a bitzke sähne rede.;sähne;äh
1139;Gliszcz;17,73634;53,22735;148600;1;Marburg;Ma mutt seä schriegge sustä fästeht hai em nüscht.;seä;eä;Ÿck väschta ju nÿ gi moitä ä Bitzke söhne räde.;söhne;öh
11467;Boilstädt;10,68407;50,91991;138852;1;Marburg;Mäh moß laut schrai sost verstehtt ër ons nech.;laut;au;Ech verstieh och nech, düh mott än böschen lauter spräch.;lauter;au
11485;Ingersleben;10,93186;50,92027;142811;1;Marburg;Me moß lud schri, sost värstiête ons nech.;lud;u;Ech verstihe uch nech, ihr moßt a Beschen luter spräche.;luter;u
1150;Czarze;18,26662;53,22211;375151;1;Marburg;Man mot lut schriege senste vasteit he nuscht.;lut;u;Ek vasto ju nech ji mote he betske lute rede;lute ;u
11515;Gutendorf;11,20701;50,91984;139765;1;Marburg;Mi mossen laut schreie sost verstiehte ons nech;laut;au;Ech verstiehe eich nech, ihr moßt was lauter schwatze.;lauter;au
11539;Kleinschwabhausen;11,46177;50,93317;138476;1;Marburg;M'r muß laut schreie, sost vārstiehte ons nech.;laut;au;Ech vārschtieh eich nech, ihr mußt ā beschen lauter sprāche.;lauter;au
