Korrekturstatus;Quadrant;Bogennummer;REDE_Namen;Name;Longitude;Latitude;REDE_GIDs;Sprache;Herkunft;Erhebung;Allgemeine Anmerkungen zum Schreiber;WS26:Wortform;WS26:Stammvokal;WS26::Transliteration WS26;WS26::Anmerkungen WS26;WS33:Wortform;WS33:Stammvokal;WS33::Transliteration WS33;WS33::Anmerkungen WS33
korr.: Link;16/25;10029;Ringhuscheid;RINGHUSCHEID;6,34277;50,06311;94965;1;Marburg;2;Kurrent;Haus;au;Hoanner usem Haus stinn dre=i schunger Äpelbömcher moat rukden Äpelcher.;;Häuser;äu;Se=i Bruder wöll söch zwee schunger Häuser oan eurä Gard bauen.;
korr.: Link;17/25;10044;Malberg;MALBERG;6,58295;50,04663;95722;1;Marburg;2;"Kurrent; e und n schwer auseinanderzuhalten; w von der Schreibweise her unterschiedlich (Kurrent & Latein)";Haus;au;Hanner oaßem Haus stieg drei schienger Aapelbemcher mat ruden Äppelcher.;;Heiser;ei;Sei Broder well seich zwai schinger nei Heiser an eierm Gohden bauen.;
korr.: Link;51/42;1009;Nowy Klukom;NOWY KLUKOM;15,49524;53,11481;150069;1;Marburg;2;Kurrent;Huus;uu;Hinna osem Huus staua dre schi|ne kleean Äppabööm mät klee|aa roga Äpla.;;Hüse;ü;Sia Broge we (kurz) seg twe schie|e nieg Hüse e (kurz) jugem (Gaumeel.) Gaueta buga;
korr.: Link;52/42;1018;Lasko K Choszczna;LASKO K CHOSZCZNA;15,78185;53,08719;531796;1;Marburg;1;"Kurrent; Tinte ist sehr blass";Hus;u;Hinni osem Hus stoa dre schön Appabömke met rohde Appakin.;;Hüse;ü;Sien Brude wi sich twe schöan nig Hüse in jugem Gote buge.;
korr.: Link;18/25;10215;Pantenburg;PANTENBURG;6,84042;50,09033;99147;1;Marburg;2;Kurrent;Haus;au;Honner usem Haus stihn drei schüner Apelbäm mat dä ruden Apeln.;;Heiser;ei;Se Brouder wöll sech zwee nei Heiser an euren Jorden bauen.;
korr.: Link;53/42;1023;Golin;GOLIN;16,08349;53,12516;159464;1;Marburg;1;"Kurrent; Schreiber setzt bei j keinen Punkt";Huus;uu;Hinne ōsem Huus stahe dre schön Appelbömkes mit rhode Äppelkes.;;Hüse;ü;Sin Broode wi sik twe schön nig' Hüse i jugem Goade bugge;
korr.: Link;19/25;10230;Beuren;BEUREN;7,07928;50,09451;97954;1;Marburg;1;Kurrent (O eigene Schreibweise);Haus;au;Honner osem Haus stiehn dreu schinne Äpelbämcher mot rude Äpelcher.;;Häuser;äu;Seu Broder well sech zwei schiene neue Häuser [Rest fehlt];
korr.: Link;20/25;10259;Mörsdorf;MÖRSDORF;7,34404;50,10303;98462;1;Marburg;1;"Kurrent; Schreiber setzt bei j keinen Punkt";Haus;au;Hennech osem Haus stin drei schiene Äpelbamcher met rore Äpelcher.;;Häusa;äu;Sei Brohre well sich zwei schine neue Häusa en aure Garte baue.;
korr.: Link;21/25;10275;Badenhard;BADENHARD;7,633;50,12291;94920;1;Marburg;1;"Kurrent; Schreiber setzt bei j keinen Punkt";Haus;au;Hiner osem Haus stehn drei schene Aepelbemcher met rore Aepelcher.;;Haiser;ai;Sei Brurer well sich zwei schöne neie Haiser in aurem Garte baue.;
korr.: Link;54/42;1029;Niekursko;NIEKURSKO;16,39581;53,11234;531178;1;Marburg;1;"Kurrent; Schreiber setzt bei j keinen Punkt; e und n sind schwer auseinanderzuhalten";Hus;u;Hino oosum Hus stauo dre schejal Appabömkjus met rodu Äppakjus.;;Hüse;ü;Sio Brode wiri sik twe schnjal Hüse in jug um Gaudo buggo.;
korr.: Link;22/25;10300;Welterod;WELTEROD;7,88739;50,1322;95227;1;Marburg;1;Kurrent;Haus;au;Henner usem Haus schtehn drei schene Äbelbemercher mett ruhre Äbelcher.;;Häiser;äi;Sei Brure will zwa schene naje Häiser en äere Karde baue.;
korr.: Link;23/25;10315;Bleidenstadt;BLEIDENSTADT;8,14118;50,13996;96664;1;Marburg;2;"Kurrent; e und n sind schwer auseinanderzuhalten";Haus;au;Hinnar unserm Haus stihn drei schine Ebbelbämcher mit rure Ebbelcher. ;;Häuser;äu;Sei(n) Brurarr will sich zwa schine neie Häuser in eierm Ga(r)te baue.;
korr.: Link;15/26;10335;Espeler;ESPELER;6,05347;50,20267;11144;1;Marburg;3;"Kurrent; e und n sind schwer auseinanderzuhalten";Hos;o;Honnen an ust Hos stohn dren schuner Äppelbeemcher met rukden Appelche.;;Hauser;au;Sei Brodeer well sich zwee schun nei Hauser on iren Gart'n bau'm;
korr.: Link;55/42;1035;Stobno;STOBNO;16,63215;53,09276;376330;1;Marburg;1;Kurrent;Hus;u;Hinno osom Hus stünno dre stram Äpalböhmkos met rodo Äpakos.;;Hüse;ü;Sio Bruder wie sick twe schnial nik Hüse i juko Gauto buko.;
