Ort::REDE_GIDs;Ort::Longitude;Ort::Latitude;Ort::Name;Bogennummer;Ort::Sprache;Transliteration WS29;WS29: Stammvokal Positiv;WS29: Stammauslaut Positiv;WS29: Stammvokal Komparativ;WS29: Stammauslaut Komparativ;
135418;6,69129;51,07309;EVINGHOVEN;23630;1;Ongs Berg send nett ärg huch, de ür send vill hüger.;u;ch;ü;g;
544290;6,680221539;51,21619719;WEIßENBERG;23933;1;"Os Bärg send net ärg hoch; de üer send voll höger (l).";o;ch;ö;g;
104010;6,6309;51,39584;VENNIKEL;24218;1;Os Berg sind nit ärch hoch, de ouen sind völ höger.;o;ch;ö;g;
102995;6,6022;51,54559;RHEINBERG;23031;1;Ons Berge sind nit erg hog, de oh sind völ höger.;o;g;ö;g;
103878;6,59016;51,72886;HAMMINKELN;23284;1;Onse Bargen sönd niet sehr hoch, de ouen sönd völl höger;o;ch;ö;g;
103952;6,59361;51,87915;HEMDEN;23498;1;Unse Bärge sünt neeth hoge, de ouen sünt völl höger.;o;g;ö;g;
18597;7,29083;46,575;ABLÄNDSCHEN;45722;1;Üser Bärga si nit so höi öwer (ev. üwer) [weitere Übersetzung fehlt];ö;i;;;
16831;7,27905;46,75873;BRÜNISRIED;45716;1;Üser Bärge si nit grad hoi, euer si viel höier.;o;i;ö;i;
18380;7,26899;46,91951;SÜRI;45692;1;Üser Berge si nid grad höch, öjúer si viu höcher.;ö;ch;ö;ch;
20067;7,24963;47,08695;MERZLIGEN;44796;1;Üsi Bärge si nid so höch éui si viel höcher.;ö;ch;ö;ch;
16781;7,33682;47,17484;PIETERLEN;44771;1;Üsi Bärge si nid grad höch, eui si viel höcher.;ö;ch;ö;ch;
36499;7,246;47,42133;LUCELLE;41714;1;É|isări Bărgă sin nit séhr hoch, é|iri sin vill héchăr.;o;ch;é;ch;
19407;7,7484;46,02414;Zermatt;46145;1;Ichi Bärga sind nit so heji ewi sind vil hejer.;e;ji;e;j;
33696;7,44726;47,58851;RANSPACH-LE-BAS;41566;1;Eyßere Barga sinn nitt sehr hoch, eyere sinn vill hecher.;o;ch;e;ch;
26570;7,39739;47,74412;RIXHEIM;41460;1;Unsera Barga sèn nèt racht hoch, èira sèn vèll hècher.;o;ch;è;ch;
23927;7,37872;47,94354;OBERENTZEN;41296;1;Unsri Barg sin nit so hoch, éiri sin viel héchèr.;o;ch;è;ch;
31694;7,36359;48,08198;COLMAR;36084;1;Unsere Barge sen net so hoch, èire sen viel hècher.;o;ch;è;ch;
31120;7,38445;48,24184;ORSCHWILLER;36933;1;Onseri Ba̱ri sinn nit gar hoch, ä̱eri sinn vill hè̱ché̮r.;o;ch;è̱;ch;
