CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;DE01;DE02_01;DE03;DE04_01;DE04_02;DE04_03;DE04_04;DE05;DE06;DE07_01;SA01;SA01_01;SA01_02;SA01_03;SA01_03a;SA02;SA02_01;SA02_02;SA02_03;SA02_03a;SA03;SA03_01;SA03_02;SA03_03;SA03_03a;SA04;SA04_01;SA04_02;SA04_03;SA04_03a;SA05;SA05_01;SA05_02;SA05_03;SA05_03a;SA06;SA06_01;SA06_02;SA06_03;SA06_03a;SO01;SO01_01;SO01_02;SO01_03;SO01_03a;SO02;SO02_01;SO02_02;SO02_03;SO02_03a;SO03;SO03_01;SO03_02;SO03_03;SO03_03a;SO04;SO04_01;SO04_02;SO04_03;SO04_03a;SU01;SU01_01;SU01_02;SU01_03;SU01_03a;SU02;SU02_01;SU02_02;SU02_03;SU02_03a;SU03;SU03_01;SU03_02;SU03_03;SU03_03a;SU04;SU04_01;SU04_02;SU04_03;SU04_03a;SU05;SU05_01;SU05_02;SU05_03;SU05_03a;SU06;SU06_01;SU06_02;SU06_03;SU06_03a;SD01;SD01_01;SD01_02;SD01_03;SD01_03a;SD02;SD02_01;SD02_02;SD02_03;SD02_03a;SD03;SD03_01;SD03_02;SD03_03;SD03_03a;SD04;SD04_01;SD04_02;SD04_03;SD04_03a;SM01;SM01_01;SM01_02;SM01_03;SM01_03a;SM02;SM02_01;SM02_02;SM02_03;SM02_03a;SM03;SM03_01;SM03_02;SM03_03;SM03_03a;SM04;SM04_01;SM04_02;SM04_03;SM04_03a;AA01;AA01_01;AA01_02;AA01_03;AA01_03a;AA02;AA02_01;AA02_02;AA02_03;AA02_03a;AA03;AA03_01;AA03_02;AA03_03;AA03_03a;AA04;AA04_01;AA04_02;AA04_03;AA04_03a;AA05;AA05_01;AA05_02;AA05_03;AA05_03a;AA06;AA06_01;AA06_02;AA06_03;AA06_03a;AA07;AA07_01;AA07_02;AA07_03;AA07_03a;AA08;AA08_01;AA08_02;AA08_03;AA08_03a;AA09;AA09_01;AA09_02;AA09_03;AA09_03a;AA10;AA10_01;AA10_02;AA10_03;AA10_03a;AO01;AO01_01;AO01_02;AO01_03;AO01_03a;AO02;AO02_01;AO02_02;AO02_03;AO02_03a;AO03;AO03_01;AO03_02;AO03_03;AO03_03a;AO04;AO04_01;AO04_02;AO04_03;AO04_03a;AO05;AO05_01;AO05_02;AO05_03;AO05_03a;AO06;AO06_01;AO06_02;AO06_03;AO06_03a;AO07;AO07_01;AO07_02;AO07_03;AO07_03a;AO08;AO08_01;AO08_02;AO08_03;AO08_03a;AO09;AO09_01;AO09_02;AO09_03;AO09_03a;AO10;AO10_01;AO10_02;AO10_03;AO10_03a;AU01;AU01_01;AU01_02;AU01_03;AU01_03a;AU02;AU02_01;AU02_02;AU02_03;AU02_03a;AU03;AU03_01;AU03_02;AU03_03;AU03_03a;AU04;AU04_01;AU04_02;AU04_03;AU04_03a;AU05;AU05_01;AU05_02;AU05_03;AU05_03a;AU06;AU06_01;AU06_02;AU06_03;AU06_03a;AU07;AU07_01;AU07_02;AU07_03;AU07_03a;AU08;AU08_01;AU08_02;AU08_03;AU08_03a;AU09;AU09_01;AU09_02;AU09_03;AU09_03a;AU10;AU10_01;AU10_02;AU10_03;AU10_03a;AD01;AD01_01;AD01_02;AD01_03;AD01_03a;AD02;AD02_01;AD02_02;AD02_03;AD02_03a;AD03;AD03_01;AD03_02;AD03_03;AD03_03a;AD04;AD04_01;AD04_02;AD04_03;AD04_03a;AD05;AD05_01;AD05_02;AD05_03;AD05_03a;AD06;AD06_01;AD06_02;AD06_03;AD06_03a;AD07;AD07_01;AD07_02;AD07_03;AD07_03a;AD08;AD08_01;AD08_02;AD08_03;AD08_03a;AD09;AD09_01;AD09_02;AD09_03;AD09_03a;AD10;AD10_01;AD10_02;AD10_03;AD10_03a;TIME001;TIME002;TIME003;TIME004;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME013;TIME014;TIME015;TIME016;TIME017;TIME018;TIME019;TIME020;TIME021;TIME022;TIME023;TIME024;TIME025;TIME026;TIME027;TIME028;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
93;;;akz;interview;2022-07-09 10:09:41;1;;;53;Saarbrücken;66123;Deutschland;1;2;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;3;4;;;26;10;;7;15;14;17;16;11;10;18;24;18;12;24;16;8;19;17;13;19;14;11;346;;2022-07-09 10:15:28;1;0;28;28;0;0;1,09;9
97;;;akz;interview;2022-07-09 10:11:28;1;;;68;Hüllhorst;32609;Deutschland;2;2;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;5;5;;;40;13;;14;21;26;19;18;20;36;25;40;19;9;17;18;8;25;15;7;16;21;12;449;;2022-07-09 10:18:57;1;0;28;28;0;0;0,85;2
99;;;akz;interview;2022-07-09 10:30:15;1;;;36;Halle (Saale);'06114;Deutschland ;1;1;Berlinerisch;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;2;2;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;5;4;;;33;15;12;13;39;56;37;31;61;56;27;38;43;26;23;28;14;24;24;15;37;29;19;569;;2022-07-09 10:42:04;1;0;28;28;0;0;0,6;1
100;;;akz;interview;2022-07-09 10:33:34;2;Italienisch;1;31;Heidelberg;69126;Deutschland;3;2;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;2;3;7;5;20;6;;16;25;16;25;13;12;15;22;35;17;9;20;19;7;10;16;6;12;224;6;358;;2022-07-09 10:43:02;1;0;28;28;0;0;1,17;13
103;;;akz;interview;2022-07-09 10:37:43;1;;;36;Siegen;57072;Deutschland;1;2;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;5;4;;;32;14;;12;25;17;20;17;14;13;19;30;15;7;12;11;7;11;18;7;16;12;7;345;;2022-07-09 10:43:28;1;0;28;28;0;0;1,08;6
104;;;akz;interview;2022-07-09 10:38:54;1;;;42;Tirol;6020;Österreich;1;1;Alemannisch;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;2;2;2;1;;1;1;2;1;;2;2;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;2;3;;;21;6;9;1;15;8;16;6;135;12;7;20;10;8;10;9;7;7;11;4;9;10;6;230;;2022-07-09 10:44:46;1;0;28;28;0;0;1,67;51
106;;;akz;interview;2022-07-09 10:41:58;1;;;39;Berlin;10115;Deutschland;2;1;Thüringen;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;3;5;;;23;8;10;3;29;28;27;17;17;17;19;30;24;15;25;23;11;25;22;11;27;19;22;446;;2022-07-09 10:49:38;1;0;28;28;0;0;0,92;8
110;;;akz;interview;2022-07-09 10:54:21;1;;;28;;;Deutschland;1;2;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;2;2;2;1;;2;2;2;1;;8;6;;;38;16;;21;142;80;28;37;30;38;70;38;68;36;16;33;19;18;41;10;28;54;75;495;;2022-07-09 11:10:12;1;0;28;28;3;3;0,49;0
113;;;akz;interview;2022-07-09 11:33:08;2;Russisch ;1;44;Weinstadt ;71384;Deutschland ;1;2;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;5;5;6;5;20;9;;18;22;15;15;10;10;14;14;24;18;9;14;13;7;12;13;7;13;33;6;337;;2022-07-09 11:38:45;1;0;28;28;0;0;1,19;11
114;;;akz;interview;2022-07-09 12:03:38;1;;;60;köln;;deutschland ;1;2;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;2;5;;;37;13;;11;24;29;22;38;19;18;37;41;23;16;28;18;10;33;11;15;16;22;13;477;;2022-07-09 12:11:59;1;0;28;28;1;1;0,84;5
