"";"Bogennummer";"Ort";"Longitude";"Latitude";"Typ"
"1";"1018";"Lasko K Choszczna";"15.78185";"53.08719";"u | ü"
"2";"1029";"Niekursko";"16.39581";"53.11234";"u | ü"
"3";"1035";"Stobno";"16.63215";"53.09276";"u | ü"
"4";"1050";"Krostkowo";"17.19502";"53.11046";"u | ü"
"5";"110";"Rozpedziny";"18.9051";"53.70548";"u | ü"
"6";"11132";"Schwarzwald";"10.72904373";"50.77061604";"u | ü"
"7";"11262";"Seebach";"10.42573";"50.91165";"u | ü"
"8";"1139";"Gliszcz";"17.73634";"53.22735";"u | ü"
"9";"11467";"Boilstädt";"10.68407";"50.91991";"u | ü"
"10";"1162";"Sierakowo";"18.85888";"53.17872";"u | ü"
"11";"1192";"Debsko";"15.85412";"53.25859";"u | ü"
"12";"1197";"Plociczno";"16.12236";"53.27292";"u | ü"
"13";"1203";"Nakielno";"16.30259";"53.26242";"u | ü"
"14";"1208";"Wissulke (Wiesiółka)";"16.62174662";"53.26616634";"u | ü"
"15";"1215";"Paruszka";"16.90232";"53.26649";"u | ü"
"16";"1287";"Konotop";"15.82821";"53.44244";"u | ü"
"17";"1296";"Zabin";"16.0857";"53.43147";"u | ü"
"18";"133";"Sosnowo";"15.51756";"53.76575";"u | ü"
"19";"1403";"Dobieszewo";"15.53822";"53.61301";"u | ü"
"20";"1536";"Heidlauken (Bugorki)";"21.39751921";"55.00008085";"u | ü"
"21";"1578";"Rantau (Zaostrov'Ye)";"20.25705523";"54.95056245";"u | ü"
"22";"1664";"Labagienen/Haffwinkel (Zalivino)";"21.06375338";"54.89622754";"u | ü"
"23";"1708";"Baltruschatschen (Jakovlevo)";"22.22011308";"54.8699569";"u | ü"
"24";"1741";"Pojerstieten (Kolodcy)";"20.16992129";"54.80001676";"u | ü"
"25";"1758";"Brasdorf (Antonovka)";"20.77992635";"54.78017981";"u | ü"
"26";"1772";"Groß Goldbach (Slavinsk)";"21.08440964";"54.75089788";"u | ü"
"27";"180";"Galowo";"16.69276";"53.74786";"u | ü"
"28";"185";"Jelnia";"16.96984";"53.75059";"u | ü"
"29";"1895";"Königlich Damerau";"21.33071539";"54.71800592";"u | ü"
"30";"1953";"Pillau";"19.90818698";"54.64428333";"u | ü"
"31";"20090";"Wext";"7.067507287";"52.15805324";"u | ü"
"32";"20099";"Leer";"7.29517";"52.11388";"u | ü"
"33";"20110";"Herbern";"7.588860605";"52.12498586";"u | ü"
"34";"20117";"Ringel";"7.842229277";"52.1330543";"u | ü"
"35";"20128";"Hilter am Teutoburger Wald";"8.14588";"52.13922";"u | ü"
"36";"20248";"Haddorf";"7.31817";"52.25446";"u | ü"
"37";"20259";"Hörstel";"7.58042";"52.29816";"u | ü"
"38";"20269";"Westerkappeln";"7.87807";"52.31422";"u | ü"
"39";"20350";"Elbergen";"7.31002";"52.4517";"u | ü"
"40";"20361";"Setlage";"7.575270716";"52.47498927";"u | ü"
"41";"20370";"Merzen";"7.82957";"52.47625";"u | ü"
"42";"20381";"Vörden";"8.0952";"52.47813";"u | ü"
"43";"20384";"Wielen";"6.73365";"52.54624";"u | ü"
"44";"20446";"Hoogstede";"6.95028";"52.57618";"u | ü"
"45";"20463";"Dohren";"7.58304";"52.64501";"u | ü"
"46";"20468";"Renslage";"7.80895926";"52.64047486";"u | ü"
"47";"20481";"Dinklage";"8.12092";"52.65932";"u | ü"
"48";"20543";"Haren (Ems)";"7.24493";"52.79004";"u | ü"
"49";"20555";"Hüven";"7.5504";"52.78572";"u | ü"
"50";"20562";"Garen";"7.78096";"52.81598";"u | ü"
"51";"20575";"Sevelten";"8.06387";"52.81064";"u | ü"
"52";"20589";"Neudersum";"7.23473";"52.97142";"u | ü"
"53";"20596";"Neubörger";"7.44966";"52.95796";"u | ü"
"54";"20599";"Neuarenberg";"7.76901";"52.97003";"u | ü"
"55";"20604";"Garrel";"8.02414";"52.95515";"u | ü"
"56";"20638";"Visbek";"8.31184";"52.83661";"u | ü"
"57";"2067";"Enskemen (-)";"22.50016715";"54.62991219";"u | ü"
"58";"20710";"Wietzendorf";"9.97514";"52.91878";"u | ü"
"59";"20753";"Magelsen";"9.16808";"52.87499";"u | ü"
"60";"20763";"Nordkampen";"9.43239";"52.86343";"u | ü"
"61";"20774";"Vierde";"9.7293";"52.88191";"u | ü"
"62";"20788";"Schmarbeck";"10.20256";"52.8993";"u | ü"
"63";"20798";"Brümsen";"8.64481";"52.82247";"u | ü"
"64";"20891";"Dörpel";"8.58443";"52.67101";"u | ü"
"65";"20901";"Maasen";"8.88406";"52.69239";"u | ü"
"66";"20917";"Drakenburg";"9.21314";"52.68797";"u | ü"
"67";"20920";"Unterrodewald";"9.481851913";"52.66567501";"u | ü"
"68";"20933";"Thören";"9.75629";"52.67757";"u | ü"
"69";"20946";"Scharnhorst";"10.27333";"52.72449";"u | ü"
"70";"20948";"Aschen";"8.36081";"52.65057";"u | ü"
"71";"21024";"Burlage";"8.37572";"52.50909";"u | ü"
"72";"21033";"Hoysinghausen";"8.90975";"52.52673";"u | ü"
"73";"21045";"Brokeloh";"9.20944";"52.54802";"u | ü"
"74";"21050";"Empede";"9.46636";"52.53603";"u | ü"
"75";"21065";"Gailhof";"9.76477";"52.55174";"u | ü"
"76";"21074";"Adelheidsdorf";"10.0574";"52.56429";"u | ü"
"77";"21085";"Nordburg";"10.28391";"52.57727";"u | ü"
"78";"21190";"Brockhausen";"8.3898";"52.33045";"u | ü"
"79";"21199";"Isenstedt";"8.63405";"52.34995";"u | ü"
"80";"21218";"Wietersheim";"8.95277";"52.33325";"u | ü"
"81";"21235";"Hülshagen";"9.21751";"52.36874";"u | ü"
"82";"21280";"List";"9.75132";"52.3891";"u | ü"
"83";"21305";"Voigtholz-Ahlemissen";"10.32142";"52.39354";"u | ü"
"84";"2145";"Kurschen (Kuz'Mino)";"21.88330517";"54.51668997";"u | ü"
"85";"21611";"Schweicheln-Bermbeck";"8.6718";"52.15733";"u | ü"
"86";"21632";"Veltheim";"8.9677";"52.18788";"u | ü"
"87";"2182";"Soginten (Svirskoe)";"22.42986516";"54.5016424";"u | ü"
"88";"21902";"Rautheim";"10.58483";"52.24025";"u | ü"
"89";"21936";"Bartensleben";"11.13295";"52.24058";"u | ü"
"90";"22044";"Rottorf";"10.84096";"52.25623";"u | ü"
"91";"22063";"Hundisburg";"11.39951";"52.24731";"u | ü"
"92";"22074";"Farsleben";"11.65499";"52.27548";"u | ü"
"93";"22083";"Reesen";"11.93747";"52.28307";"u | ü"
