"";"Bogennummer";"Ort..Name";"Ort..Longitude";"Ort..Latitude";"Typ"
"1";23933;"WEIßENBERG";"6.680221539";"51.21619719";"o | ö"
"2";24218;"VENNIKEL";"6.6309";"51.39584";"o | ö"
"3";23031;"RHEINBERG";"6.6022";"51.54559";"o | ö"
"4";23284;"HAMMINKELN";"6.59016";"51.72886";"o | ö"
"5";23498;"HEMDEN";"6.59361";"51.87915";"o | ö"
"6";45716;"BRÜNISRIED";"7.27905";"46.75873";"o | ö"
"7";36282;"WANGENBOURG";"7.30732";"48.6228";"o | ö"
"8";15137;"KAUTENBACH";"7.12694";"49.9156";"o | ö"
"9";23184;"HOLTHAUSEN BEI KIRCHHELLEN";"6.901533702";"51.5894299";"o | ö"
"10";23293;"ERLE";"6.86433";"51.74642";"o | ö"
"11";23507;"WESEKE";"6.85711";"51.90792";"o | ö"
"12";41598;"LÖRRACH";"7.66409";"47.61258";"o | ö"
"13";36880;"BISCHOFFINGEN";"7.62537";"48.10625";"o | ö"
"14";32019;"DIETSCHWEILER";"7.453633274";"49.44090624";"o | ö"
"15";14999;"BERSCHWEILER BEI KIRN";"7.39191";"49.77036";"o | ö"
"16";23402;"HOLTWICK";"7.13224";"51.75267";"o | ö"
"17";20090;"WEXT";"7.067507287";"52.15805324";"o | ö"
"18";41336;"KAPPEL";"7.90831";"47.96423";"o | ö"
"19";36898;"MALECK";"7.88416";"48.12924";"o | ö"
"20";37025;"SCHMIEHEIM";"7.85658";"48.27938";"o | ö"
"21";36789;"GOERSDORF";"7.76782";"48.95111";"o | ö"
"22";31695;"HELTERSBERG";"7.71516";"49.31178";"o | ö"
"23";32040;"SIEGELBACH";"7.69141";"49.47033";"o | ö"
"24";15349;"ELLERN (HUNSRÜCK)";"7.64098";"49.98645";"o | ö"
"25";10275;"BADENHARD";"7.633";"50.12291";"o | ö"
"26";27025;"FAULMERT";"7.52408";"50.94416";"o | ö"
"27";23858;"OBERKLÜPPELBERG";"7.482521669";"51.11069717";"o | ö"
"28";20454;"GEESTE";"7.26965";"52.60078";"o | ö"
"29";20543;"HAREN (EMS)";"7.24493";"52.79004";"o | ö"
"30";20589;"NEUDERSUM";"7.23473";"52.97142";"o | ö"
"31";48282;"NORDERNEY";"7.14497";"53.70519";"o | ö"
"32";40637;"ESCHBACH";"8.18086";"47.6336";"o | ö"
"33";41086;"WALDAU";"8.16331";"47.98172";"o | ö"
"34";32053;"ALSENBORN";"7.938705171";"49.49097128";"o | ö"
"35";14693;"DANNENFELS";"7.94492";"49.62669";"o | ö"
"36";27038;"HAHNSEIFEN";"7.76182";"50.96107";"o | ö"
"37";23873;"VALBERT";"7.75338";"51.12";"o | ö"
"38";23419;"DAVENSBERG";"7.5934";"51.81826";"o | ö"
"39";20259;"HÖRSTEL";"7.58042";"52.29816";"o | ö"
"40";20361;"SETLAGE";"7.575270716";"52.47498927";"o | ö"
"41";20463;"DOHREN";"7.58304";"52.64501";"o | ö"
"42";20555;"HÜVEN";"7.5504";"52.78572";"o | ö"
"43";20596;"NEUBÖRGER";"7.44966";"52.95796";"o | ö"
"44";40655;"ERZINGEN";"8.42011";"47.66108";"o | ö"
"45";40844;"MÜNCHINGEN";"8.39596";"47.82501";"o | ö"
"46";37119;"BUCHENBERG";"8.37655";"48.16035";"o | ö"
"47";36594;"BAD ROTENFELS";"8.30895";"48.81087";"o | ö"
"48";36842;"NEUBURGWEIER";"8.26776";"48.96981";"o | ö"
"49";31719;"GEINSHEIM";"8.25607";"49.30486";"o | ö"
"50";32067;"ERPOLZHEIM";"8.22634";"49.48944";"o | ö"
"51";14724;"MONSHEIM";"8.20454";"49.63649";"o | ö"
"52";15066;"BECHTOLSHEIM";"8.19083";"49.80215";"o | ö"
"53";15394;"FINTHEN";"8.1754";"49.98368";"o | ö"
"54";27064;"MÜSEN";"8.05073";"50.98044";"o | ö"
"55";20370;"MERZEN";"7.82957";"52.47625";"o | ö"
"56";20468;"RENSLAGE";"7.80895926";"52.64047486";"o | ö"
"57";20562;"GAREN";"7.78096";"52.81598";"o | ö"
"58";20599;"NEUARENBERG";"7.76901";"52.97003";"o | ö"
"59";47219;"LOHE";"7.78056";"53.14718";"o | ö"
"60";47455;"REMELS";"7.75073";"53.3052";"o | ö"
"61";47670;"WIESEDE";"7.7709";"53.44988";"o | ö"
"62";48368;"STEDESDORF";"7.66379";"53.62527";"o | ö"
"63";45501;"BONSTETTEN";"8.46842";"47.315";"o | ö"
"64";41114;"ÖFINGEN";"8.63525";"47.99144";"o | ö"
"65";37138;"ROTTWEIL";"8.6275";"48.16786";"o | ö"
"66";37401;"AISTAIG";"8.57013";"48.31544";"o | ö"
"67";37658;"OBERWALDACH";"8.57584";"48.49849";"o | ö"
"68";38169;"DENNACH";"8.55523";"48.82296";"o | ö"
"69";34447;"BERGHAUSEN";"8.52712";"49.00389";"o | ö"
"70";33849;"ALTLUSSHEIM";"8.49951";"49.30106";"o | ö"
"71";33605;"ERFELDEN";"8.47034";"49.83533";"o | ö"
"72";20481;"DINKLAGE";"8.12092";"52.65932";"o | ö"
"73";20575;"SEVELTEN";"8.06387";"52.81064";"o | ö"
"74";20604;"GARREL";"8.02414";"52.95515";"o | ö"
"75";47224;"BURGFELDE";"7.985741345";"53.15868334";"o | ö"
"76";47463;"PETERSFELD";"8.031800239";"53.28863493";"o | ö"
"77";47677;"NEUSTADTGÖDENS";"7.9855";"53.47874";"o | ö"
"78";48383;"WÜPPELS";"7.97986";"53.63678";"o | ö"
"79";40757;"SCHIENEN";"8.90035";"47.68774";"o | ö"
"80";41018;"EIGELTINGEN";"8.8974";"47.85806";"o | ö"
"81";38623;"NENDINGEN";"8.86067";"48.00602";"o | ö"
"82";38182;"TIEFENBRONN";"8.80329";"48.82521";"o | ö"
"83";38482;"KLEINVILLARS";"8.74383";"48.99804";"o | ö"
"84";27244;"HEDDERNHEIM";"8.64714";"50.16176";"o | ö"
"85";21024;"BURLAGE";"8.37572";"52.50909";"o | ö"
"86";20948;"ASCHEN";"8.36081";"52.65057";"o | ö"
"87";20638;"VISBEK";"8.31184";"52.83661";"o | ö"
"88";47139;"SANDHATTEN";"8.31903";"53.00936";"o | ö"
"89";47235;"MOORHAUSEN";"8.32018";"53.17327";"o | ö"
"90";47470;"JADERBOLLENHAGEN";"8.300590806";"53.32493665";"o | ö"
"91";48477;"IFFENS";"8.330792544";"53.53273255";"o | ö"
"92";44610;"WITTENWIL";"8.92158";"47.50308";"o | ö"
"93";40771;"WOLLMATINGEN";"9.146804618";"47.69228556";"o | ö"
"94";40898;"BILLAFINGEN";"9.13657";"47.83337";"o | ö"
"95";38502;"HOHENHASLACH";"9.02154";"48.99915";"o | ö"
"96";33331;"STEINBUCH";"8.95083";"49.68248";"o | ö"
"97";46055;"NUFENEN";"9.2436";"46.53889";"o | ö"
"98";46051;"CAMANA";"9.2905";"46.66809";"o | ö"
"99";20891;"DÖRPEL";"8.58443";"52.67101";"o | ö"
"100";20798;"BRÜMSEN";"8.64481";"52.82247";"o | ö"
"101";47370;"BARDENFLETH";"8.5663";"53.17486";"o | ö"
"102";47598;"OFFENWARDENERMOOR";"8.56993";"53.34549";"o | ö"
"103";48302;"MISSELWARDEN";"8.5169";"53.67513";"o | ö"
"104";48242;"BERENSCH";"8.5904";"53.82092";"o | ö"
"105";46048;"VALENDAS";"9.28213";"46.78757";"o | ö"
"106";44685;"NEUKIRCH AN DER THUR";"9.17245";"47.51119";"o | ö"
"107";40785;"KLUFTERN";"9.40004";"47.69278";"o | ö"
"108";41049;"ILLMENSEE";"9.37456";"47.86209";"o | ö"
"109";38655;"VÖLLKOFEN";"9.38609";"48.01005";"o | ö"
"110";34228;"RUMPFEN";"9.2439";"49.53425";"o | ö"
"111";28589;"NEUSTADT (HESSEN)";"9.11693";"50.85178";"o | ö"
"112";21218;"WIETERSHEIM";"8.95277";"52.33325";"o | ö"
"113";21033;"HOYSINGHAUSEN";"8.90975";"52.52673";"o | ö"
"114";47171;"DREYE";"8.8805";"53.0151";"o | ö"
"115";47402;"MITTELBAUER";"8.842222062";"53.18391576";"o | ö"
"116";47612;"PADDEWISCH";"8.86492";"53.35456";"o | ö"
"117";48497;"ALTLUNEBERG";"8.82184";"53.52681";"o | ö"
"118";48401;"FLÖGELN";"8.80591";"53.66003";"o | ö"
"119";48247;"ALTENBRUCH";"8.77311";"53.82372";"o | ö"
"120";48098;"FRIEDRICHSKOOG";"8.8805";"54.0062";"o | ö"
"121";46073;"FELSBERG";"9.47688";"46.84455";"o | ö"
"122";46391;"POPPENBÜLL";"8.76123";"54.36107";"o | ö"
"123";46637;"ALTE KIRCHE";"8.59403";"54.51596";"o | ö"
"124";42908;"GAMPRIN";"9.51164";"47.21906";"o | ö"
"125";42748;"FRASNACHT";"9.40477";"47.52836";"o | ö"
"126";40798;"OBEREISENBACH";"9.64125";"47.6819";"o | ö"
"127";41057;"BAINDT";"9.66279";"47.84325";"o | ö"
"128";27150;"WIESTHAL";"9.42905";"50.03327";"o | ö"
"129";27461;"OBERNDORF";"9.47236";"50.1902";"o | ö"
"130";27765;"ULMBACH";"9.42231";"50.36852";"o | ö"
"131";28045;"ALTENSCHLIRF";"9.38635";"50.53509";"o | ö"
"132";28330;"SCHWARZ";"9.42007";"50.7215";"o | ö"
"133";21045;"BROKELOH";"9.20944";"52.54802";"o | ö"
"134";20917;"DRAKENBURG";"9.21314";"52.68797";"o | ö"
"135";20753;"MAGELSEN";"9.16808";"52.87499";"o | ö"
"136";47183;"ALLERDORF";"9.196856353";"53.02650299";"o | ö"
"137";47422;"NEUENBÜLSTEDT";"9.14746";"53.2099";"o | ö"
"138";47624;"OBER-OCHTENHAUSEN";"9.14538";"53.38607";"o | ö"
"139";48507;"HÖNAU-LINDORF";"9.1253";"53.53544";"o | ö"
