Ort::Longitude;Ort::Latitude;Ort::REDE_GIDs;Ort::Sprache;Bogennummer;Ort::Name;Transliteration WS 36;Wortform WS 36;Stammvokal WS 36;Stammvokal Überprüfung;Kategorie;Anmerkungen WS36
6,34277;50,06311;94965;1;10029;RINGHUSCHEID;Wat setzen doa fir Vi=elcher op där Mäuerchen.;Vi=elcher;i;;Diminutiv;
6,58295;50,04663;95722;1;10044;MALBERG;Waht setzen eloh fier Figelcher ohwen ob dem Meierchen.;Figelcher;i;;Diminutiv;
15,49524;53,11481;150069;1;1009;NOWY KLUKOM;Wat sitta daue vä kle|an Vöga bowa up dä klena Mu|e?;Vöga;ö;;Plural;
15,78185;53,08719;531796;1;1018;LASKO K CHOSZCZNA;Wat sitta do fö Vögakas bowa up dem Müeka?;Vögakas;ö;;Diminutiv;
6,84042;50,09033;99147;1;10215;PANTENBURG;Wat sötzen boa fürn Vigel ob der Mauer.;Vigel;i;;Plural;
16,08349;53,12516;159464;1;1023;GOLIN;Wat sitte do vo Vögelkes bowen up dem Müheke.;Vögelkes;ö;;Diminutiv;
7,07928;50,09451;97954;1;10230;BEUREN;Bat setzen do fer Vigelcher, owen of demm Mäureche? ;Vigelcher;i;;Diminutiv;
7,34404;50,10303;98462;1;10259;MÖRSDORF;Bat setze elo füa Völche owe uf dem Mäuerche.;Völche;ö;;Diminutiv;
7,633;50,12291;94920;1;10275;BADENHARD;Wat sitze do fer Völcher owe uf dem Meierche.;Völcher;ö;;Diminutiv;
16,39581;53,11234;531178;1;1029;NIEKURSKO;Wat sitto daue vä Vöja bauwo up dem Müüeko?;Vöja;ö;j;unklar;
7,88739;50,1322;95227;1;10300;WELTEROD;Was sitze do vär Velerger uwe uf d'm Mäjerge.;Velerger;e;;Diminutiv;
8,14118;50,13996;96664;1;10315;BLEIDENSTADT;Wa(o)s sitze do fir Vilercher owe uff dem Meierche? ;Vilercher;i;;Diminutiv;
6,05347;50,20267;11144;1;10335;ESPELER;Watt sitze do fürr Vijellche howen ob dem Miërchen.;Vijellche;ij;;Diminutiv;
16,63215;53,09276;376330;1;1035;STOBNO;Wat sitto daue fä Vögakos bauwo up dem Müka?;Vögakos;ö;;Diminutiv;
6,31001;50,22124;95212;1;10351;BRANDSCHEID;Wad setzen dou die Vigelcher owen ob dem Meierchen.;Vigelcher;i;;Diminutiv;
6,55753;50,21722;97121;1;10368;BÜDESHEIM;Wat sētzen dao fürr Vielcher o̊fen ob demm Meuerchen?;Vielcher;ie;;Diminutiv;
6,7955;50,23069;97404;1;10381;WALDKÖNIGEN;Wat setzen elôh für Vüjelcher elowen ob dem Möüerchen?;Vüjelcher;üj;;Diminutiv;
17,19502;53,11046;370259;1;1050;KROSTKOWO;Wat site daue ve Vogel bau wen up de Müe;Vogel;o;;Plural;
7,0778;50,26048;95268;1;10584;KALENBORN;Bad setzen do für Vigelger owwen ob dem Mäurichgen.;Vigelger;i;;Diminutiv;
7,34445;50,2728;96687;1;10601;GAPPENACH;Bat setzen da für Vigelche owe of dem Meierche. ;Vigelche;i;;;
7,61816;50,28044;101126;1;10621;RHENS;Wat setze do fur Vuelcher owe of dem Mäuerche?;Vuelcher;ue;;;
7,87712;50,29247;96321;1;10649;ATTENHAUSEN;Wot setze do fär Vilcher owe uff dem Mäierche?;Vilcher;i;;;
8,10998;50,31601;94966;1;10663;HERINGEN;Wos sitze do fir Vilercher of dor Mauer?;Vilercher;i;;;
6,28038;50,38149;11763;1;10690;HONSFELD;Wat setzen do för Vügelcher ofen ob dat Mürchen?;Vügelcher;ü;;;
6,54324;50,3815;135306;1;10697;DAHLEM;Wat setzen do für Vöggelcher oven opp dem Mürche.;Vöggelcher;ö;;;
6,80584;50,41498;95727;1;10709;AREMBERG;Watt setzen do für Vüggelchen ofen ob dem Möuerchen.;Vüggelchen;ü;;;
7,05945;50,41231;96260;1;10736;HOHENLEIMBACH;Bat setzn do für Väjelcher owe ob dem Mäureche?;Väjelcher;äj;;;
